Transcript,Words
Where is my package?,prompt efficient useful
The driver trampled my flowers.,nice
No one came to pick up my packages.,angry
I need to expedite a shipment.,late
Will the driver be wearing a mask?,helpful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,arrived
The driver trampled my flowers.,damaged
No one came to pick up my packages.,package
I need to expedite a shipment.,solved
Will the driver be wearing a mask?,need
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,fine
The driver trampled my flowers.,repeatedly
No one came to pick up my packages.,prompt efficient useful
I need to expedite a shipment.,nice
Will the driver be wearing a mask?,angry
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,late
Where is my package?,helpful
The driver trampled my flowers.,okay
No one came to pick up my packages.,arrived
I need to expedite a shipment.,damaged
Will the driver be wearing a mask?,package
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,solved
Where is my package?,need
The driver trampled my flowers.,okay
No one came to pick up my packages.,fine
I need to expedite a shipment.,repeatedly
Will the driver be wearing a mask?,prompt efficient useful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,nice
Where is my package?,angry
The driver trampled my flowers.,late
No one came to pick up my packages.,helpful
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,arrived
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,damaged
Where is my package?,package
The driver trampled my flowers.,solved
No one came to pick up my packages.,need
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,fine
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,repeatedly
Where is my package?,prompt efficient useful
The driver trampled my flowers.,nice
No one came to pick up my packages.,angry
I need to expedite a shipment.,late
Will the driver be wearing a mask?,helpful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,arrived
The driver trampled my flowers.,damaged
No one came to pick up my packages.,package
I need to expedite a shipment.,solved
Will the driver be wearing a mask?,need
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,fine
The driver trampled my flowers.,repeatedly
No one came to pick up my packages.,prompt efficient useful
I need to expedite a shipment.,nice
Will the driver be wearing a mask?,angry
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,late
Where is my package?,helpful
The driver trampled my flowers.,okay
No one came to pick up my packages.,arrived
I need to expedite a shipment.,damaged
Will the driver be wearing a mask?,package
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,solved
Where is my package?,need
The driver trampled my flowers.,okay
No one came to pick up my packages.,fine
I need to expedite a shipment.,repeatedly
Will the driver be wearing a mask?,prompt efficient useful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,nice
Where is my package?,angry
The driver trampled my flowers.,late
No one came to pick up my packages.,helpful
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,arrived
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,damaged
Where is my package?,package
The driver trampled my flowers.,solved
No one came to pick up my packages.,need
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,fine
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,repeatedly
Where is my package?,prompt efficient useful
The driver trampled my flowers.,nice
No one came to pick up my packages.,angry
I need to expedite a shipment.,late
Will the driver be wearing a mask?,helpful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,arrived
The driver trampled my flowers.,damaged
No one came to pick up my packages.,package
I need to expedite a shipment.,solved
Will the driver be wearing a mask?,need
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,fine
The driver trampled my flowers.,repeatedly
No one came to pick up my packages.,prompt efficient forthright
I need to expedite a shipment.,nice awkward
Will the driver be wearing a mask?,angry mad
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,late
Where is my package?,helpful
The driver trampled my flowers.,okay
No one came to pick up my packages.,arrived
I need to expedite a shipment.,damaged #@$& broken
Will the driver be wearing a mask?,package
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,solved discount
Where is my package?,need
The driver trampled my flowers.,okay
No one came to pick up my packages.,fine efficient
I need to expedite a shipment.,repeatedly often worthwhile
Will the driver be wearing a mask?,prompt efficient useful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,nice
Where is my package?,angry
The driver trampled my flowers.,late
No one came to pick up my packages.,helpful
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,arrived
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,damaged
Where is my package?,package
The driver trampled my flowers.,solved
No one came to pick up my packages.,need
I need to expedite a shipment.,okay
Will the driver be wearing a mask?,fine
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,air shipping transport
Where is my package?,prompt efficient useful
The driver trampled my flowers.,nice
No one came to pick up my packages.,angry
I need to expedite a shipment.,late
Will the driver be wearing a mask?,helpful
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,arrived
The driver trampled my flowers.,damaged
No one came to pick up my packages.,package
I need to expedite a shipment.,solved
Will the driver be wearing a mask?,need
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,okay
Where is my package?,fine
The driver trampled my flowers.,repeatedly
No one came to pick up my packages.,prompt efficient useful
I need to expedite a shipment.,nice
Will the driver be wearing a mask?,angry
The driver was so nice to me and carried the big diaper boxes up the outside stairs so my baby wouldn't wake up.,late
Where is my package?,helpful
The driver trampled my flowers.,okay
No one came to pick up my packages.,arrived
I need to expedite a shipment.,damaged
Will the driver be wearing a mask?,package
